id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude,load_shape
11,8,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,1200.0,default
12,12,0.0,0.0,0.0199997214686926,0.0099999006670729,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,1275.0,1200.0,default
13,9,0.0400005018338598,0.0200010083000444,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,1725.0,1200.0,default
14,13,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,1500.0,default
15,9r,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,False,False,1725.0,1200.0,default
16,14,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,False,False,2150.0,1200.0,default
17,34,0.0,0.0,0.0,0.0,0.0410381478854793,0.0205184504203901,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,1350.0,1500.0,default
18,18,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2325.0,1500.0,default
19,11,0.0404896556015658,0.0202455957653803,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,2150.0,950.0,default
20,10,0.0201288348811939,0.0100647996083151,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,2150.0,1450.0,default
21,15,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,False,False,1250.0,1500.0,default
22,16,0.0,0.0,0.0,0.0,0.0400003104995838,0.0199995469506511,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,875.0,1500.0,default
23,17,0.0,0.0,0.0,0.0,0.0200001554121399,0.0099997736600698,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,1250.0,1850.0,default
24,19,0.0400007205964193,0.0200014597870192,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,2325.0,1250.0,default
25,21,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2625.0,1500.0,default
26,20,0.0396278675641485,0.0198150255741964,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,2325.0,925.0,default
27,22,0.0,0.0,0.0420238527771583,0.0210120540267444,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,2625.0,975.0,default
28,23,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2875.0,1500.0,default
29,24,0.0,0.0,0.0,0.0,0.0400003315023633,0.0199994884820057,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,2875.0,950.0,default
30,25,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,3150.0,1500.0,default
31,25r,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,ac,False,False,False,3150.0,1500.0,default
32,26,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,ac,False,False,False,3150.0,1150.0,default
33,28,0.0396351206356015,0.019818657788265,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,3350.0,1500.0,default
34,27,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,ac,False,False,False,3150.0,875.0,default
35,31,0.0,0.0,0.0,0.0,0.0200001665259979,0.0099997417949084,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,3375.0,1150.0,default
36,33,0.0400680963653938,0.0200351658679155,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,3650.0,875.0,default
37,29,0.0392600594090497,0.01963111639557,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,3650.0,1500.0,default
38,30,0.0,0.0,0.0,0.0,0.0400003323100088,0.0199994835373058,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,3650.0,1850.0,default
39,250,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,3650.0,2050.0,default
40,32,0.0,0.0,0.0,0.0,0.0200001663575672,0.0099997416219193,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,3675.0,1150.0,default
41,35,0.0254462195025555,-0.0020190036148714,0.0145542448888997,0.0220191361631616,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2325.0,1975.0,default
42,36,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,ab,False,False,False,2000.0,2075.0,default
43,40,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2575.0,1975.0,default
44,37,0.0390698739033947,0.0195360268545047,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,2000.0,1775.0,default
45,38,0.0,0.0,0.0204517350330012,0.0102259278375158,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,2000.0,2325.0,default
46,39,0.0,0.0,0.0199995999702345,0.0099998585925034,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,2000.0,2650.0,default
47,41,0.0,0.0,0.0,0.0,0.0200001692790576,0.0099997404352688,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,2575.0,2300.0,default
48,42,0.0200003731410438,0.0100007572655632,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2825.0,1975.0,default
49,43,0.0,0.0,0.0416248820144499,0.0208125728487708,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,2825.0,2475.0,default
50,44,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,3025.0,1975.0,default
51,45,0.0197057116089896,0.0098534236841187,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,3025.0,2175.0,default
52,47,0.0344415990991001,0.0246023467473165,0.0356616744638444,0.0254727639927957,0.0350293054806647,0.0250201845272842,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,3275.0,1975.0,default
53,46,0.020000381476965,0.0100007683016578,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,3025.0,2475.0,default
54,48,0.0677455149261685,0.0483920214464679,0.072632312582985,0.051880507600605,0.0700857121877535,0.0500597275710778,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,3275.0,1825.0,default
55,49,0.035000494881972,0.0250015846313372,0.0699984994093179,0.0499992028511267,0.0350003395322582,0.019999533184673,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,3275.0,2225.0,default
56,50,0.0,0.0,0.0,0.0,0.0400003477193507,0.0199994605587935,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,3275.0,2475.0,default
57,51,0.0200003840173269,0.0100007766211231,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,3275.0,2725.0,default
58,151,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,3928.0,3187.0,default
59,52,0.0400008273380068,0.02000175284385,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1500.0,2000.0,default
60,53,0.0400009097070722,0.0200019523860331,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1500.0,2200.0,default
61,54,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,2325.0,default
62,55,0.019649020500758,0.0098252934258349,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1500.0,2600.0,default
63,57,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1850.0,2325.0,default
64,56,0.0,0.0,0.0199994377324595,0.0099997831369695,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1500.0,2875.0,default
65,58,0.0,0.0,0.0204861686455133,0.0102431542260088,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,1850.0,2075.0,default
66,60,0.020000697689899,0.0100015604684242,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1850.0,3075.0,default
67,59,0.0,0.0,0.019999361022956,0.0099997481441092,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,1850.0,1825.0,default
68,61,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1300.0,3075.0,default
69,62,0.0,0.0,0.0,0.0,0.0397762363253016,0.0198866904139398,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2100.0,3075.0,default
70,63,0.0400014367015596,0.0200031419689022,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2275.0,3075.0,default
71,64,0.0,0.0,0.0762041846884387,0.0355622776674882,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2625.0,3075.0,default
72,65,0.0442048855733588,0.0453917408384021,0.0354275826114097,0.0254200409556566,0.0585568522468638,0.0278972552412951,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2625.0,2650.0,default
73,66,0.0,0.0,0.0,0.0,0.0750014341726323,0.0349980228158966,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2300.0,2650.0,default
74,67,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1850.0,3525.0,default
75,68,0.0200007814260245,0.0100017320743332,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,1850.0,3725.0,default
76,72,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1575.0,3525.0,default
77,97,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2100.0,3525.0,default
78,69,0.0400016283184838,0.0200035319761243,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,1850.0,4000.0,default
79,70,0.0200008377375133,0.0100017904232627,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,1850.0,4325.0,default
80,71,0.040001702234007,0.0200036085977581,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,1850.0,4600.0,default
81,73,0.0,0.0,0.0,0.0,0.040000933050139,0.0199988446412554,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,1575.0,3800.0,default
82,76,0.0995713950838562,0.0551070345495008,0.080210351069479,0.0777988325472275,0.0719241879480067,0.0519904384658059,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1375.0,3525.0,default
83,74,0.0,0.0,0.0,0.0,0.0419434570395185,0.0209700270785367,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,1575.0,4150.0,default
84,75,0.0,0.0,0.0,0.0,0.0400009319307523,0.0199988424522616,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,1575.0,4550.0,default
85,77,0.0,0.0,0.0399981880158234,0.0199992376518334,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1375.0,3925.0,default
86,86,0.0,0.0,0.0199990739382084,0.009999600217664,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,725.0,3255.0,default
87,78,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1375.0,4025.0,default
88,79,0.0424418688783038,0.0212239185158514,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1375.0,4250.0,default
89,80,0.0,0.0,0.0399981535115266,0.0199992279014718,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,900.0,4025.0,default
90,81,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,425.0,4025.0,default
91,82,0.0400016211723644,0.0200036875181433,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,175.0,4025.0,default
92,84,0.0,0.0,0.0,0.0,0.0200005000399918,0.0099993808360784,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,425.0,4700.0,default
93,83,0.0,0.0,0.0,0.0,0.0200005060501882,0.0099993729579105,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,True,175.0,4275.0,default
94,85,0.0,0.0,0.0,0.0,0.0400009993004692,0.0199987600377651,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,900.0,4700.0,default
95,87,0.0,0.0,0.0399981070435778,0.0199991721203641,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1125.0,3050.0,default
96,88,0.0400016482280655,0.0200037765077644,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,True,1300.0,2950.0,default
97,89,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1125.0,2775.0,default
98,90,0.0,0.0,0.0410946616327926,0.0205474466458427,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,True,900.0,2775.0,default
99,91,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1125.0,2550.0,default
100,92,0.0,0.0,0.0,0.0,0.0400010510198857,0.0199987477323528,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,True,825.0,2550.0,default
101,93,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1125.0,2325.0,default
102,94,0.0400016830027643,0.0200038524260098,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,850.0,2325.0,default
103,95,0.0,0.0,0.0199990359011708,0.0099995710587163,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1125.0,2025.0,default
104,96,0.0,0.0,0.0199990343117123,0.0099995695102101,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,925.0,2025.0,default
105,98,0.0400015383122218,0.0200034923829607,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2100.0,3800.0,default
106,99,0.0,0.0,0.0399982429231821,0.0199992681064355,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2100.0,4350.0,default
107,100,0.0,0.0,0.0,0.0,0.0421531937406643,0.0210748908271735,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,2100.0,4650.0,default
108,450,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2100.0,5450.0,default
109,197,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2200.0,3525.0,default
110,101,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2450.0,3525.0,default
111,102,0.0,0.0,0.0,0.0,0.0200004683983639,0.0099994182412912,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,2450.0,3750.0,default
112,105,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2725.0,3525.0,default
113,103,0.0,0.0,0.0,0.0,0.0400009358817707,0.0199988346305766,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,2450.0,4075.0,default
114,104,0.0,0.0,0.0,0.0,0.0400009348483009,0.0199988326219154,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,2450.0,4775.0,default
115,106,0.0,0.0,0.0399982013984706,0.0199992483770522,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,2725.0,3750.0,default
116,108,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,3050.0,3525.0,default
117,107,0.0,0.0,0.0399981842846326,0.0199992317430505,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,2725.0,4325.0,default
118,109,0.0400016982649889,0.0200037377790343,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,3050.0,3975.0,default
119,300,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,4010.0,3245.0,default
120,110,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,False,False,3050.0,4275.0,default
121,111,0.02000088338065,0.0100019041152343,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,3625.0,4275.0,default
122,112,0.0203445848749521,0.0101737746051788,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,2925.0,4275.0,default
123,113,0.0412188131397567,0.0206124243843619,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,2925.0,4800.0,default
124,114,0.020000895668228,0.0100019166850269,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,a,False,True,False,2925.0,5125.0,default
125,135,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,2325.0,1600.0,default
126,152,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,1600.0,default
127,160r,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1850.0,3175.0,default
128,160,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1850.0,3175.0,default
129,61s,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1300.0,3175.0,default
130,610,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,277.1281292110204,1000000.0,0.95,1.05,0,0,abc,False,False,False,1300.0,3275.0,default
